.START
..refdes	device	value	footprint	quantity
C1	POLARIZED_CAPACITOR	680pf	unknown	1
C2	POLARIZED_CAPACITOR	0.01uF	unknown	1
C3	POLARIZED_CAPACITOR	.01uF	unknown	1
C4	POLARIZED_CAPACITOR	100uF	unknown	1
C5	POLARIZED_CAPACITOR	.005uF	unknown	1
C6	POLARIZED_CAPACITOR	1uF	unknown	1
D1	DIODE	1N914	DO-41	1
L1	INDUCTOR	10mH	0402	1
L2	INDUCTOR	10mH	0402	1
Q1	unknown	2N4401	unknown	1
Q2	unknown	2N4403	unknown	1
Q3	unknown	2N4401	unknown	1
Q4	unknown	2N4401	unknown	1
R1	RESISTOR	180k	0402	1
R2	RESISTOR	3.9k	0402	1
R3	RESISTOR	22k	0402	1
R4	VARIABLE_RESISTOR	20k	unknown	1
R5	RESISTOR	2.2K	0402	1
R6	RESISTOR	2.7k	0402	1
R7	RESISTOR	47R	0402	1
.END
