.START
..refdes	device	value	footprint	quantity
C1	CAPACITOR	680pf	ACY-100	1
C2	CAPACITOR	0.01uF	ACY-100	1
C3	CAPACITOR	0.01uF	ACY-100	1
C4	POLARIZED_CAPACITOR	100uF	RCY-100P	1
C6	POLARIZED_CAPACITOR	1uF	RCY-080P	1
D1	DIODE	1N914	DO-41	1
L1	INDUCTOR	10mH	AXIAL_LAY-400.fp	1
L2	INDUCTOR	10mH	AXIAL_LAY-400.fp	1
Q1	NPN_TRANSISTOR	2N4401	TO-92	1
Q2	PNP_TRANSISTOR	2N4403	TO-92	1
Q3	NPN_TRANSISTOR	2N4401	TO-92	1
Q4	NPN_TRANSISTOR	2N4401	TO-92	1
R1	RESISTOR	180k	R-025	1
R2	RESISTOR	3.9k	R-025	1
R3	RESISTOR	22k	R-025	1
R4	VARIABLE_RESISTOR	20k	POT__BOURNS_3352T	1
R5	RESISTOR	2.2K	R-025	1
R6	RESISTOR	2.7k	R-025	1
R7	RESISTOR	47R	R-025	1
.END
